"id","uuid","cultivo","predio","enfermedad","riesgo","lat","lng","biomasa","fecha_inicio_analisis","fecha_termino_analisis","productos"
20454,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2022-01-13 00:00:00.000,2022-01-19 00:00:00.000,{soldier}
20455,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2022-01-09 00:00:00.000,2022-01-15 00:00:00.000,{soldier}
20456,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2022-01-05 00:00:00.000,2022-01-11 00:00:00.000,{soldier}
20457,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2022-01-17 00:00:00.000,2022-01-23 00:00:00.000,{soldier}
20458,"51c8c280-a404-11ee-bbf0-bfaa11772f14",calabaza,gonzalez_lugo,Cenicilla Erysiphe,bajo,25.7079082383786,-108.6555436115,0.0,2022-01-17 00:00:00.000,2022-01-23 00:00:00.000,"{fungifree,zoll,controller}"
20459,"51c8c280-a404-11ee-bbf0-bfaa11772f14",calabaza,gonzalez_lugo,Cenicilla Erysiphe,bajo,25.7079082383786,-108.6555436115,0.0,2022-03-17 00:00:00.000,2022-03-23 00:00:00.000,"{fungifree,zoll,controller}"
20460,"51c8c280-a404-11ee-bbf0-bfaa11772f14",calabaza,gonzalez_lugo,Cenicilla Erysiphe,bajo,25.7079082383786,-108.6555436115,0.0,2022-01-21 00:00:00.000,2022-01-27 00:00:00.000,"{fungifree,zoll,controller}"
20461,"51c8c280-a404-11ee-bbf0-bfaa11772f14",calabaza,gonzalez_lugo,Cenicilla Erysiphe,moderado,25.7079082383786,-108.6555436115,0.0,2022-01-09 00:00:00.000,2022-01-15 00:00:00.000,"{fungifree,zoll,controller}"
20462,"51c8c280-a404-11ee-bbf0-bfaa11772f14",calabaza,gonzalez_lugo,Cenicilla Erysiphe,moderado,25.7079082383786,-108.6555436115,0.0,2022-01-05 00:00:00.000,2022-01-11 00:00:00.000,"{fungifree,zoll,controller}"
20463,"51c8c280-a404-11ee-bbf0-bfaa11772f14",calabaza,gonzalez_lugo,Cenicilla Erysiphe,bajo,25.7079082383786,-108.6555436115,0.0,2022-02-13 00:00:00.000,2022-02-19 00:00:00.000,"{fungifree,zoll,controller}"
